team,season,games,avg_pregame_elo,actual_points,expected_points,eva_total,eva_per_game,eva_plus_total,eva_plus_per_game,expected_wins,actual_wins,playoff_games,playoff_eva_total,playoff_eva_per_game,reg_eva_plus_per_game
Boston Bruins,1955,75.0,1493.0017372580628,70.0,79.78993911081659,-9.789939110816585,-0.13053252147755445,-1.3615694632254312,-0.018154259509672414,35.31757935385862,24.0,5.0,-0.4771288557962535,-0.0954257711592507,-0.012634865820416822
Boston Bruins,1956,70.0,1468.9641260857109,59.0,71.13890722384266,-12.138907223842669,-0.17341296034060955,-4.2712896977215555,-0.06101842425316508,31.09452576285003,23.0,0.0,0.0,,-0.06101842425316508
Boston Bruins,1957,80.0,1510.4743015418721,90.0,88.19961858711102,1.800381412888969,0.02250476766111211,10.640070923496674,0.13300088654370842,39.386832580714184,39.0,10.0,1.709804489449188,0.1709804489449188,0.12757523477210697
Boston Bruins,1958,82.0,1513.8320825912194,82.0,92.09627501460363,-10.096275014603613,-0.12312530505614162,-1.163674923079517,-0.014191157598530695,41.3175150681784,33.0,12.0,1.9513564879506158,0.1626130406625513,-0.044500448729001905
Boston Bruins,1959,77.0,1510.7888478625116,81.0,87.8353530764764,-6.83535307647639,-0.08877081917501806,1.55241821894451,0.02016127557070792,39.546607582427754,35.0,7.0,0.16637865830986165,0.023768379758551665,0.01980056515192354
Boston Bruins,1960,70.0,1498.432536272445,64.0,76.84094031364093,-12.840940313640932,-0.18344200448058473,-5.197105950559633,-0.07424437072228048,34.24401185783577,28.0,0.0,0.0,,-0.07424437072228048
Boston Bruins,1961,70.0,1457.9032749697874,43.0,68.5994323644905,-25.599432364490504,-0.36570617663557864,-17.818929750749184,-0.2545561392964169,29.666150045579553,15.0,0.0,0.0,,-0.2545561392964169
Boston Bruins,1962,70.0,1413.113288497822,38.0,59.50458237385172,-21.504582373851722,-0.3072083196264532,-13.631258742988445,-0.19473226775697777,24.702203074041087,15.0,0.0,0.0,,-0.19473226775697777
Boston Bruins,1963,70.0,1411.2805093419618,45.0,59.01074221398611,-14.010742213986115,-0.20015346019980162,-5.961087955204258,-0.08515839936006082,24.42462379787445,14.0,0.0,0.0,,-0.08515839936006082
Boston Bruins,1964,70.0,1426.6934118453441,48.0,61.64012008277883,-13.640120082778827,-0.1948588583254118,-6.012428938048949,-0.08589184197212783,25.839017690352957,18.0,0.0,0.0,,-0.08589184197212783
Boston Bruins,1965,70.0,1426.180228176999,48.0,61.792178972878105,-13.792178972878101,-0.19703112818397286,-6.0222178011560334,-0.08603168287365762,25.93592301969227,21.0,0.0,0.0,,-0.08603168287365762
Boston Bruins,1966,70.0,1422.9572768252413,48.0,61.20588297145052,-13.205882971450515,-0.18865547102072164,-5.3363947801674545,-0.07623421114524935,25.63449812441461,21.0,0.0,0.0,,-0.07623421114524935
Boston Bruins,1967,70.0,1435.0783157273784,44.0,63.69204397662796,-19.69204397662794,-0.2813149139518277,-11.895998179998868,-0.16994283114284098,26.95476593396522,17.0,0.0,0.0,,-0.16994283114284098
Boston Bruins,1968,78.0,1474.4655795968492,84.0,87.04908093879705,-3.049080938797058,-0.039090781266628946,5.130761752244939,0.06577899682365307,39.0123386819644,37.0,4.0,-3.015045697164216,-0.753761424291054,0.11007847904606964
Boston Bruins,1969,86.0,1525.1420666109623,115.0,106.572359086405,8.427640913594997,0.09799582457668601,17.945293410487096,0.20866620244752437,48.99329806091937,48.0,10.0,4.949228732150121,0.49492287321501205,0.17100085103074966
