season,date,playoff,neutral,status,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating
2003,2003-05-15,1,0,post,,New Jersey Devils,Ottawa Senators,NJD,OTT,1574.30854877288,1594.4577927502,0.553492858670379,0.446507141329621,0.237098643795033,1.21285195499481,1.02424668880022,1,0,1576.4260994756,1592.34024204749,100,,
2003,2003-05-16,1,0,post,,Anaheim Ducks,Minnesota Wild,ANA,MIN,1533.80746087362,1517.68377172521,0.616755188943274,0.383244811056726,0.229137711685264,1.32132621690734,0.907811494777927,2,1,1535.58634981987,1515.90488277897,73,,
2003,2003-05-17,1,0,post,,New Jersey Devils,Ottawa Senators,NJD,OTT,1576.4260994756,1592.34024204749,0.561011320807939,0.438988679192061,0.236159402965426,1.22569394600246,1.01046545696297,5,2,1580.39804276355,1588.36829875953,100,,
2003,2003-05-19,1,0,post,,Ottawa Senators,New Jersey Devils,OTT,NJD,1588.36829875953,1580.39804276355,0.60279616625635,0.39720383374365,0.230910673380573,1.29731093723179,0.933599736148783,3,1,1591.28760249946,1577.47873902362,100,,
2003,2003-05-21,1,0,post,OT,New Jersey Devils,Ottawa Senators,NJD,OTT,1577.47873902362,1591.28760249946,0.56473859059466,0.43526140940534,0.235693461580415,1.23206544946443,1.00362801211598,1,2,1574.69019232076,1594.07614920233,100,,
2003,2003-05-23,1,0,post,,Ottawa Senators,New Jersey Devils,OTT,NJD,1594.07614920233,1574.69019232076,0.622288255273305,0.377711744726695,0.228431017631921,1.33085758876606,0.897573428865863,2,3,1590.93849416481,1577.82784735827,100,,
2003,2003-05-27,1,0,post,,New Jersey Devils,Anaheim Ducks,NJD,ANA,1577.82784735827,1535.58634981987,0.660097991167213,0.339902008832787,0.223523001114397,1.39617189943354,0.827351101680854,3,0,1580.8000111478,1532.61418603035,96,,
2003,2003-05-29,1,0,post,,New Jersey Devils,Anaheim Ducks,NJD,ANA,1580.8000111478,1532.61418603035,0.669628168555882,0.330371831444118,0.222258887393654,1.41268441279474,0.809574474598917,3,0,1583.67896201242,1529.73523516573,96,,
2003,2003-05-31,1,0,post,OT,Anaheim Ducks,New Jersey Devils,ANA,NJD,1529.73523516573,1583.67896201242,0.492906127093986,0.507093872906014,0.242900073277578,1.10898539307545,1.13391468020212,3,2,1532.18979256159,1581.22440461655,96,,
2003,2003-06-02,1,0,post,OT,Anaheim Ducks,New Jersey Devils,ANA,NJD,1532.18979256159,1581.22440461655,0.501736624181726,0.498263375818274,0.243573162917482,1.12483683477745,1.11873632814003,1,0,1534.59439128085,1578.81980589729,96,,
2003,2003-06-05,1,0,post,,New Jersey Devils,Anaheim Ducks,NJD,ANA,1578.81980589729,1534.59439128085,0.663293592375796,0.336706407624204,0.223100535184263,1.40170656449252,0.82139397069174,6,3,1581.76065865366,1531.65353852448,96,,
2003,2003-06-07,1,0,post,,Anaheim Ducks,New Jersey Devils,ANA,NJD,1531.65353852448,1581.76065865366,0.499807302187189,0.500192697812811,0.243767361680553,1.12154525865208,1.12222210302847,5,2,1536.27361657909,1577.14058059905,96,,
2003,2003-06-09,1,0,post,,New Jersey Devils,Anaheim Ducks,NJD,ANA,1577.14058059905,1536.27361657909,0.657875357572961,0.342124642427039,0.223816035556902,1.39232369628026,0.831492339276638,3,0,1580.13455521181,1533.27964196633,96,,
2004,2003-10-08,0,0,post,,Dallas Stars,Anaheim Ducks,DAL,ANA,1553.40338684201,1524.79574937643,0.611233926617142,0.388766073382858,0.22984057516717,1.31182207114608,0.918018504021088,4,1,1556.86142834175,1521.33770787669,87,,
2004,2003-10-08,0,0,post,,Chicago Blackhawks,Minnesota Wild,CHI,MIN,1486.46568009583,1512.63341794528,0.534243690784207,0.465756309215793,0.239502084953398,1.1800369887058,1.0594650962476,1,0,1488.68887838401,1510.4102196571,39,,
2004,2003-10-08,0,0,post,OT,Boston Bruins,New Jersey Devils,BOS,NJD,1490.42372475326,1557.59418864827,0.475309813891952,0.524690186108048,0.240695902793525,1.07691040581608,1.16378549697744,3,3,1490.54223764658,1557.47567575495,71,,
2004,2003-10-09,0,0,post,,Ottawa Senators,Montreal Canadiens,OTT,MTL,1565.15694591537,1473.79224871061,0.692910288272561,0.307089711727439,0.21911150610756,1.45310746579186,0.766004040315702,5,2,1567.81025634818,1471.1389382778,64,,
2004,2003-10-09,0,0,post,,Detroit Red Wings,Los Angeles Kings,DET,LAK,1563.43494914257,1492.91863853633,0.66680009111009,0.33319990888991,0.222635348919295,1.40778226019576,0.814853088723533,3,2,1564.9545687879,1491.399018891,75,,
2004,2003-10-09,0,0,post,,Washington Capitals,New York Islanders,WSH,NYI,1498.86953886584,1495.44585921852,0.576282594902735,0.423717405097265,0.23424836524233,1.25182029927423,0.982428065968104,6,1,1503.52983462622,1490.78556345814,36,,
2004,2003-10-09,0,0,post,,Vancouver Canucks,Calgary Flames,VAN,CGY,1535.197341797,1474.96506954719,0.653519983469573,0.346480016530427,0.224388410913609,1.38478606726173,0.839602343651879,4,1,1538.23413487241,1471.92827647179,46,,
2004,2003-10-09,0,0,post,,Philadelphia Flyers,Buffalo Sabres,PHI,BUF,1538.02316844772,1480.26079038635,0.650293623960605,0.349706376039395,0.224810897816346,1.37920505229073,0.845605845525619,2,0,1540.55133614154,1477.73262269253,52,,
2004,2003-10-09,0,0,post,,Nashville Predators,Anaheim Ducks,NSH,ANA,1472.61270519163,1521.33770787669,0.50183486039521,0.49816513960479,0.243560809979057,1.12500322569589,1.11855758428316,3,1,1476.40110137341,1517.54931169491,36,,
2004,2003-10-09,0,0,post,,Florida Panthers,Carolina Hurricanes,FLA,CAR,1438.94880040601,1443.15061621249,0.565529777248275,0.434470222751725,0.235594522359607,1.23341835910521,1.00217616325439,3,1,1442.18262530216,1439.91679131634,1,,
